,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Stetson,,ASUN,0.03,17 - 13,12 - 6,9 - 3,8 - 10,0.38 @ Lipscomb,-0.35 (N) Niagara,,,-0.022,161
,,Georgia Tech,,ACC,0.03,15 - 18,6 - 14,11 - 6,4 - 12,0.74 (H) Miami (FL),-0.61 @ Louisville,,,0.055,96
,,Youngstown State,,Horizon,0.027,24 - 9,15 - 5,14 - 2,10 - 7,0.39 (H) Northern Kentucky,-0.40 @ Robert Morris,,,-0.133,331
,,South Carolina,,SEC,0.025,11 - 21,4 - 14,7 - 8,4 - 13,0.80 @ Kentucky,-0.29 (H) Mississippi,,,0.12,48
,,Lipscomb,,ASUN,0.023,20 - 13,11 - 7,13 - 2,7 - 11,0.63 (H) Liberty,-0.54 @ Alabama A&M,,,-0.053,212
,,Eastern Washington,,Big Sky,0.023,22 - 10,16 - 2,11 - 2,11 - 8,0.56 @ Montana State,-0.59 @ Idaho State,,,-0.096,281
,,Fresno State,,Mountain West,0.02,11 - 20,6 - 12,7 - 7,4 - 13,0.60 @ UNLV,-0.50 (H) Sacramento State,,,0.095,73
,,St. Bonaventure,,Atlantic 10,0.017,14 - 18,8 - 10,11 - 4,3 - 14,0.91 @ VCU,-0.46 @ Canisius,,,0.02,119
,,Ball State,,MAC,0.016,20 - 12,11 - 7,12 - 2,8 - 10,0.73 @ Toledo,-0.71 @ Western Michigan,,,-0.092,273
,,DePaul,,Big East,0.013,10 - 23,3 - 17,7 - 8,3 - 15,0.72 (H) Xavier,-0.51 @ Georgetown,,,0.142,31
,,Wyoming,,Mountain West,0.011,9 - 22,4 - 14,7 - 8,2 - 14,0.75 @ New Mexico,-0.38 (H) Southeastern Louisiana,,,0.116,55
,,George Washington,,Atlantic 10,0.01,16 - 16,10 - 8,11 - 6,5 - 10,0.55 @ George Mason,-0.63 (H) UC-San Diego,,,-0.005,143
,,Ohio,,MAC,0.008,19 - 14,10 - 8,14 - 1,5 - 13,0.47 @ Youngstown State,-0.61 @ Eastern Michigan,,,-0.06,227
,,Brown,,Ivy,0.007,14 - 13,7 - 7,7 - 5,7 - 8,0.47 (H) Princeton,-0.53 @ Loyola (MD),,,-0.015,155
,,Louisiana Tech,,C-USA,0.006,15 - 18,7 - 13,9 - 6,6 - 12,0.35 @ Rice,-0.34 @ Wyoming,,,0.018,121
,,East Carolina,,AAC,0.005,16 - 17,6 - 12,10 - 6,6 - 11,0.62 (N) Toledo,-0.85 (H) South Carolina State,,,0.01,128
,,SMU,,AAC,0.004,10 - 22,5 - 13,7 - 9,3 - 13,0.80 (N) Utah State,-0.57 (H) Jackson State,,,0.094,76
,,Queens (NC),,ASUN,0.002,18 - 15,7 - 11,8 - 5,10 - 10,0.69 @ Kennesaw State,-0.68 (H) Central Arkansas,,,-0.049,204
,,Milwaukee,,Horizon,0.002,21 - 11,14 - 6,15 - 3,6 - 8,0.45 @ Northern Kentucky,-0.93 (H) Green Bay,,,-0.11,302
,,Saint Joseph's,,Atlantic 10,0.002,16 - 17,8 - 10,10 - 6,6 - 11,0.55 @ George Mason,-0.52 (H) Fairleigh Dickinson,,,0,138
,,UTEP,,C-USA,0.001,14 - 18,7 - 13,11 - 7,3 - 11,0.45 (H) Middle Tennessee,-0.37 @ New Mexico State,,,0.026,113
,,Minnesota,,Big Ten,0,9 - 22,2 - 17,6 - 11,3 - 11,0.48 (H) Rutgers,-0.44 (H) DePaul,,,0.128,36
,,UC-Davis,,Big West,0,18 - 14,11 - 8,10 - 4,8 - 10,0.38 (H) Hawaii,-0.41 (H) Pacific,,,-0.062,228
,,Notre Dame,,ACC,-0.001,11 - 21,3 - 17,11 - 8,0 - 13,0.68 (H) Michigan State,-0.50 (H) Florida State,,,0.084,81
