,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Fairfield Stags,MAAC,15-18,-0.6,182,1,-0.9,0.3,15.0-18.0,8.0-12.0,<0.1%,-
Fordham Rams,A 10,16-16,-0.7,183,2,-5.2,4.5,16.0-16.0,8.0-10.0,<0.1%,-
UNC Greensboro Spartans,Southern,17-15,-0.7,184,2,-1.7,1,17.0-15.0,9.0-9.0,<0.1%,-
Nicholls Colonels,Southland,21-12,-0.7,185,1,-0.4,-0.3,21.0-12.0,11.0-3.0,>99.9%,-
Weber State Wildcats,Big Sky,21-12,-0.9,186,--,0.5,-1.3,21.0-12.0,13.0-7.0,<0.1%,-
Portland Pilots,WCC,19-15,-0.9,187,2,-0.1,-0.8,19.0-15.0,7.0-7.0,<0.1%,-
UMass Minutemen,A 10,15-17,-0.9,188,1,5.2,-6.1,15.0-17.0,7.0-11.0,<0.1%,-
Hawai'i Rainbow Warriors,Big West,17-11,-0.9,189,1,-0.6,-0.3,17.0-11.0,10.0-5.0,<0.1%,-
Florida Gulf Coast Eagles,ASUN,22-12,-1.1,190,--,1.8,-2.9,22.0-12.0,10.0-6.0,<0.1%,-
Old Dominion Monarchs,C-USA,13-19,-1.1,191,--,-0.9,-0.3,13.0-19.0,8.0-10.0,<0.1%,-
Cornell Big Red,Ivy,15-11,-1.2,192,--,0.6,-1.9,15.0-11.0,7.0-7.0,<0.1%,-
Southern Utah Thunderbirds,Big Sky,23-12,-1.3,193,3,1.3,-2.6,23.0-12.0,14.0-6.0,<0.1%,-
Louisiana Ragin' Cajuns,Sun Belt,16-15,-1.3,194,1,-1.8,0.5,16.0-15.0,8.0-9.0,<0.1%,-
James Madison Dukes,CAA,15-14,-1.4,195,1,0.3,-1.7,15.0-14.0,6.0-12.0,<0.1%,-
South Dakota Coyotes,Summit,19-12,-1.4,196,1,2,-3.4,19.0-12.0,11.0-7.0,<0.1%,-
Long Beach State Beach,Big West,20-13,-1.5,197,--,-0.7,-0.8,20.0-13.0,12.0-3.0,>99.9%,-
UC Riverside Highlanders,Big West,16-12,-1.6,198,--,-2.5,0.9,16.0-12.0,9.0-6.0,<0.1%,-
Pittsburgh Panthers,ACC,11-21,-1.7,199,--,-2.2,0.5,11.0-21.0,6.0-14.0,<0.1%,-
Marist Red Foxes,MAAC,14-16,-1.8,200,--,-1.5,-0.3,14.0-16.0,9.0-11.0,<0.1%,-
Boston University Terriers,Patriot,22-13,-1.8,201,--,1.8,-3.5,22.0-13.0,11.0-7.0,<0.1%,-
Mercer Bears,Southern,16-17,-1.8,202,--,0.7,-2.5,16.0-17.0,8.0-10.0,<0.1%,-
East Tennessee State Buccaneers,Southern,15-17,-1.9,203,--,2.3,-4.2,15.0-17.0,7.0-11.0,<0.1%,-
Southern Jaguars,SWAC,17-14,-1.9,204,3,-3.7,1.7,17.0-14.0,12.0-6.0,<0.1%,-
Troy Trojans,Sun Belt,20-12,-1.9,205,1,-3.2,1.3,20.0-12.0,10.0-6.0,<0.1%,-
Purdue Fort Wayne Mastodons,Horizon,21-12,-1.9,206,1,-1.5,-0.4,21.0-12.0,15.0-6.0,>99.9%,-
Charlotte 49ers,C-USA,17-14,-1.9,207,3,1.2,-3.1,17.0-14.0,10.0-8.0,<0.1%,-
Georgia Bulldogs,SEC,6-26,-2,208,2,2.1,-4,6.0-26.0,1.0-17.0,<0.1%,-
Campbell Fighting Camels,Big South,16-13,-2.1,209,1,-1.1,-0.9,16.0-13.0,8.0-8.0,<0.1%,-
Howard Bison,MEAC,16-13,-2.1,210,1,-1.4,-0.7,16.0-13.0,9.0-5.0,<0.1%,-
New Hampshire Wildcats,Am. East,15-13,-2.1,211,1,0.9,-3,15.0-13.0,10.0-8.0,<0.1%,-
Brown Bears,Ivy,13-16,-2.1,212,1,-2.3,0.2,13.0-16.0,5.0-9.0,<0.1%,-
Detroit Mercy Titans,Horizon,14-16,-2.1,213,--,2.4,-4.6,14.0-16.0,10.0-7.0,<0.1%,-
Arkansas State Red Wolves,Sun Belt,18-11,-2.2,214,2,-2,-0.2,18.0-11.0,8.0-7.0,<0.1%,-
Samford Bulldogs,Southern,21-11,-2.3,215,--,-0.4,-1.9,21.0-11.0,10.0-8.0,<0.1%,-
Long Island University Sharks,NEC,16-14,-2.3,216,2,-1.4,-0.9,16.0-14.0,12.0-6.0,<0.1%,-
