,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
329,Jacksonville,0-0,0-4,0-4,0-8,3-2,7-10
330,Detroit,0-0,0-5,0-3,0-8,3-7,8-5
331,Tennessee Tech,0-3,0-5,0-3,0-8,1-2,5-13
332,Stetson,0-2,0-4,0-4,0-8,0-4,5-12
333,Duquesne,0-0,0-2,0-6,0-8,6-4,13-1
334,St. Bonaventure,0-1,0-4,0-4,0-8,8-7,10-1
335,Eastern Kentucky,0-2,0-5,0-4,0-9,4-3,7-6
336,Akron,0-4,0-6,0-3,0-9,9-6,6-1
337,George Washington,0-3,0-4,0-5,0-9,2-10,7-5
338,UNC Wilmington,0-1,0-2,0-7,0-9,1-9,8-5
339,Tennessee Martin,0-0,0-3,0-6,0-9,1-3,9-7
340,Tennessee St.,0-1,0-5,0-5,0-10,0-2,7-9
341,Cal St. Fullerton,0-1,0-7,0-3,0-10,2-4,12-3
342,Morehead St.,0-0,0-3,0-7,0-10,0-7,11-3
343,Boise St.,0-2,0-5,0-6,0-11,4-6,8-3
344,North Alabama,0-1,0-5,0-6,0-11,0-6,7-5
345,UMKC,0-1,0-3,0-8,0-11,3-6,7-4
346,Western Michigan,0-4,0-6,0-6,0-12,3-9,4-3
347,Chattanooga,0-4,0-7,0-5,0-12,1-3,8-5
348,Chicago St.,0-1,0-4,0-8,0-12,0-10,1-7
349,Kennesaw St.,0-1,0-4,0-8,0-12,0-6,4-8
350,VMI,0-5,0-8,0-4,0-12,0-4,8-5
351,Mercer,0-4,0-8,0-5,0-13,2-3,7-4
352,Western Carolina,0-3,0-7,0-6,0-13,1-7,5-5
353,Tulane,0-2,0-7,0-8,0-15,1-7,3-5
